ID	name	boroughID
402	Kamieñ	18
403	Klonów	18
404	Kraszów	18
405	Królewska Wola	18
406	Ligota Rybiñska	18
407	Niwki Kraszowskie	18
408	Niwki Ksi¹¿êce	18
409	Ose	18
410	Oska Pi³a	18
411	Bolechów	19
412	Bystrzyca	19
413	Chwalibo¿yce	19
414	Drzemlikowice	19
415	Gaæ	19
416	Gaj O³awski	19
417	Godzikowice	19
418	Godzinowice	19
419	Jaczkowice	19
420	Jankowice	19
421	Jankowice Ma³e	19
422	Lizawice	19
423	Marcinkowice	19
424	Marszowice	19
425	Maszków	19
426	Mi³onów	19
427	Niemil	19
428	Niwnik	19
429	Oleœnica Ma³a	19
430	Osiek	19
431	Owczary	19
432	Psary	19
433	Siecieborowice	19
434	Siedlce	19
435	Sobocisko	19
436	Stanowice	19
437	Stary Górnik	19
438	Stary Otok	19
439	Œcinawa	19
440	Œcinawa Polska	19
441	Zabardowice	19
442	Zakrzów	19
443	Brzezimierz	20
444	Chwastnica	20
445	Danielowice	20
446	Domaniów	20
447	Gêsice	20
448	Gostkowice	20
449	Goszczyna	20
450	Grodziszowice	20
451	Janków	20
452	Koñczyce	20
453	Kuchary	20
454	Kurz¹tkowice	20
455	Pe³czyce	20
456	Piskorzów	20
457	Piskorzówek	20
458	Polwica	20
459	Rad³owice	20
460	Raduszkowice	20
461	Skrzypnik	20
462	Swojków	20
463	Teodorów	20
464	Wierzbno	20
465	Wyszkowice	20
466	Nowy Górnik	21
467	Nowy Otok	21
468	O³awa	21
469	Jelcz	22
470	Laskowice	22
471	Biskupice	22
472	Brzezinki	22
473	Chwa³owice	22
474	Dêbina	22
475	Dziuplina	22
476	Grêdzina	22
477	Kopalina	22
478	£êg	22
479	Mi³ocice	22
480	Mi³ocice Ma³e	22
481	Mi³oszyce	22
482	Minkowice O³awskie	22
483	Nowy Dwór	22
484	Piekary	22
485	Wójcice	22
486	Bia³obrzezie	23
487	B³otnica	23
488	Brochocinek	23
489	Czerwieniec	23
490	Go³ostowice	23
491	Górka Sobocka	23
492	Grzegorzów	23
493	Janowiczki	23
494	Karczyn	23
495	Komorowice	23
496	Kondratowice	23
497	Kowalskie	23
498	Ksiêginice Wielkie	23
499	Lipowa-Sadowice	23
500	Maleszów	23
501	Podgaj	23
502	Prusy	23
